id,Unnamed: 0,propertyType,name,publishedOn,address,latitude,longitude,price,priceActual,priceMax,priceMin,livingRooms,beds,bedsMax,bedsMin,isRetirementHome,isSharedOwnership,studentFriendly,features
65373392,20,flat,3 bed flat to rent,2024-03-07T11:54:23,"St. James's Parade, Bath BA1",51.379409,-2.360566,4121,4121,4250,4000,0,3,3,3,False,False,True,"['Electricity', 'Gas', 'Internet', 'Water', 'Larger than average room sizes', 'Fully furnished', '3 minute walk to bath spa station', 'Smart TV included']"
66938518,21,flat,3 bed flat to rent,2024-03-22T11:45:09,"Old Brewery Place, High Street, Oakhill, Radstock BA3",51.223468,-2.527621,2100,2100,2250,2000,1,3,3,3,False,False,False,"['Penthouse', '3 double bedrooms', 'Available now', 'Period features', 'Communal pool and gym', '2 allocated parking spaces', 'Council tax band D', 'EPC C']"
51376725,22,end_terrace,2 bed end terrace house to rent,2024-01-26T12:45:20,"High Street, Bathford, Bath, Somerset BA1",51.398727,-2.294812,1350,1350,1500,1250,2,2,2,2,False,False,False,"['2 Bedrooms', '2 Reception Rooms', 'Bathroom', 'Kitchen', 'Garden', 'Quiet Lane', 'Village location']"
67035062,23,flat,1 bed flat to rent,2024-04-04T23:04:25,"Ground Floor, Kensington Place, Walcot, Bath BA1",51.39283,-2.349251,1450,1450,1500,1250,1,1,1,1,False,False,False,"['Council Tax band D', 'Unfurnished', 'Private south facing garden', 'Available April', 'One off street parking space at the rear of the property']"
67057060,24,flat,1 bed flat to rent,2024-04-08T14:26:06,"Catharine Place, Bath BA1",51.3874,-2.36607,1450,1450,1500,1250,1,1,1,1,False,False,False,"['Fully Furnished', 'Close To City Centre', 'Fully Fitted Kitchen', 'Gas Central Heating', 'Quiet location']"
66581813,25,flat,2 bed flat to rent,2024-02-07T11:54:19,"Roman House, Walcot Gate, Bath BA1",51.388951,-2.357063,666,666,700,600,0,2,2,2,False,False,False,[]
62699381,26,detached,5 bed detached house to rent,2023-10-25T02:27:18,"Beckford Drive, Lansdown, Bath BA1",51.407571,-2.374834,4500,4500,4500,4500,2,5,5,5,False,False,False,"['Substantial three storey detached property', '2 reception rooms', '3 bathrooms', '4/5 bedrooms', 'Attractive good size garden', 'Double garage', 'Double width driveway and parking for 4 cars', 'Views']"
65802986,27,flat,2 bed flat to rent,2023-10-11T09:41:32,"Caern Well Place, Bath BA1",51.388859,-2.357666,738,738,800,700,0,2,2,2,False,False,False,[]
66815406,28,flat,2 bed flat to rent,2024-03-07T15:42:15,"Gloucester Road, Larkhall, Bath BA1",51.397492,-2.342062,3900,3900,4000,3750,1,2,2,2,True,False,False,"['On-site Bistro style restaurant with expert chef', 'Flexible care tailored to your needs and preferences', 'Beautifully maintained, landscaped gardens', 'Great community with a Village feel and independent shops', 'Historic city centre nearby with Larkhall within walking distance', 'Balconies overlooking a babbling brook to numerous apartments', '24 hour staffing', 'Wheelchair access', 'Lifts to all floors', 'Camera entry system']"
66689533,29,maisonette,3 bed maisonette to rent,2024-02-20T22:52:36,"Old Brewery Place, Oakhill, Nr Radstock BA3",51.223376,-2.528232,2000,2000,2000,2000,0,3,3,3,False,False,False,"['Council Tax Band: D', 'Deposit: 2,523 (gbp)', 'Three Bedrooms Detached', 'One Reception Room', 'Three Bathrooms', 'En-Suite', 'Allocated Parking', 'Double Glazing', 'Council Tax Band D', 'Open Galleried Landing']"
51376713,30,flat,2 bed flat to rent,2024-03-25T14:36:30,"Henrietta Street, Bath BA2",51.384303,-2.356955,1750,1750,1750,1750,1,2,2,2,False,False,False,"['2 Bedrooms', 'Kitchen', 'Sitting Room', 'Shower Room']"
66872721,31,flat,2 bed flat to rent,2024-03-14T17:29:15,"Newbridge Hill, Bath BA1",51.388743,-2.39664,1475,1475,1500,1250,0,2,2,2,False,False,False,"['No Agent Fees', 'Property Reference Number: 2020680']"
66999793,32,semi_detached,3 bed semi-detached house to rent,2024-03-30T07:15:34,"Lansdown Lane, Bath BA1",51.403921,-2.396598,3300,3300,3500,3250,0,3,3,3,False,False,False,"['No Agent Fees', 'Students Can Enquire', 'Bills Included', 'Property Reference Number: 2031371']"
62061005,33,detached,3 bed detached house to rent,2024-03-07T13:28:16,"Oaklands, Colliers Lane, Charlcombe, Bath BA1",51.40697,-2.36239,3000,3000,3000,3000,1,3,3,3,False,False,False,"['Council tax band F', 'High specification throughout', 'Detached', 'Off street parking', 'Unfurnished', 'Electric car charging port', 'Solar panels']"
52928988,34,flat,2 bed flat to rent,2024-04-04T09:21:58,"Edgar Buildings, Bath BA1",51.385105,-2.362019,1650,1650,1750,1500,1,2,2,2,False,False,False,"['Two Double Bedrooms', 'Two Bathroom', 'Penthouse Apartment', 'City Centre', 'Spacious', 'Light', 'Exceptional views', 'Available 3 June 2024']"
66913466,35,terraced,3 bed property to rent,2024-03-20T10:48:14,"Pickwick Road, Bath BA1",51.400122,-2.355971,1475,1475,1500,1250,0,3,3,3,False,False,False,"['3 Bedroom Property', 'Close to St Saviours Junior Church School', 'Close to Local Amenities', 'Available April']"
